CIP1990,CIPTITLE1990,CIP2000,CIPTITLE2000
4.03,"City/Urban, Community and Regional Planning",04.03,"City/Urban, Community and Regional Planning"
4.0301,"City/Urban, Community and Regional Planning",04.0301,"City/Urban, Community and Regional Planning"
4.04,Architectural Environmental Design,04.04,Environmental Design
4.0401,Architectural Environmental Design,04.0401,Environmental Design/Architecture
4.05,Interior Architecture,04.05,Interior Architecture
4.0501,Interior Architecture,04.0501,Interior Architecture
4.06,Landscape Architecture,04.06,Landscape Architecture
4.0601,Landscape Architecture,04.0601,"Landscape Architecture (BS, BSLA, BLA, MSLA, MLA, PhD)"
4.07,Architectural Urban Design and Planning,04.07,Deleted
4.0701,Architectural Urban Design and Planning,04.0301,"City/Urban, Community and Regional Planning"
,,04.08,Architectural History and Criticism (NEW)
,,04.0801,"Architectural History and Criticism, General(NEW)"
,,04.09,Architectural Technology/Technician (NEW)
,,04.0901,Architectural Technology/Technician (NEW)
4.99,"Architecture and Related Programs, Other",04.99,"Architecture and Related Services, Other"
4.9999,"Architecture and Related Programs, Other",04.9999,"Architecture and Related Services, Other"
5,"AREA, ETHNIC AND CULTURAL STUDIES",05.,"AREA, ETHNIC, CULTURAL, AND GENDER STUDIES"
5.01,Area Studies,05.01,Area Studies
5.0101,African Studies,05.0101,African Studies
5.0102,American Studies/Civilization,05.0102,American/United States Studies/Civilization
5.0103,Asian Studies,05.0103,Asian Studies/Civilization
5.0104,East Asian Studies,05.0104,East Asian Studies
5.0105,Eastern European Area Studies,05.0105,Central/Middle and Eastern European Studies
5.0106,European Studies,05.0106,European Studies/Civilization
5.0107,Latin American Studies,05.0107,Latin American Studies
5.0108,Middle Eastern Studies,05.0108,Near and Middle Eastern Studies
5.0109,Pacific Area Studies,05.0109,Pacific Area/Pacific Rim Studies
5.0110,Russian and Slavic Area Studies,05.0110,Russian Studies
5.0111,Scandinavian Area Studies,05.0111,Scandinavian Studies
5.0112,South Asian Studies,05.0112,South Asian Studies
5.0113,Southeast Asian Studies,05.0113,Southeast Asian Studies
5.0114,Western European Studies,05.0114,Western European Studies
5.0115,Canadian Studies,05.0115,Canadian Studies
,,05.0116,Balkans Studies (NEW)
,,05.0117,Baltic Studies (NEW)
,,05.0118,Slavic Studies (NEW)
,,05.0119,Caribbean Studies (NEW)
,,05.0120,Ural-Altaic and Central Asian Studies (NEW)
,,05.0121,Commonwealth Studies (NEW)
,,05.0122,"Regional Studies (U.S., Canadian, Foreign(NEW)"
,,05.0123,Chinese Studies (NEW)
,,05.0124,French Studies (NEW)
,,05.0125,German Studies (NEW)
,,05.0126,Italian Studies (NEW)
,,05.0127,Japanese Studies (NEW)
,,05.0128,Korean Studies (NEW)
,,05.0129,Polish Studies (NEW)
,,05.0130,Spanish and Iberian Studies (NEW)
,,05.0131,Tibetan Studies (NEW)
,,05.0132,Ukraine Studies (NEW)
5.0199,"Area Studies, Other",05.0199,"Area Studies, Other"
5.02,Ethnic and Cultural Studies,05.02,"Ethnic, Cultural Minority, and Gender Studies"
5.0201,African-American (Black) Studies,05.0201,African-American/Black Studies
5.0202,American Indian/Native American Studies,05.0202,American Indian/Native American Studies
5.0203,Hispanic-American Studies,05.0203,"Hispanic-American, Puerto Rican, and Mexican- American/Chicano Studies"
5.0204,Islamic Studies,38.0205,Islamic Studies
5.0205,Jewish/Judaic Studies,38.0206,Jewish/ Judaic Studies
5.0206,Asian-American Studies,05.0206,Asian-American Studies
5.0207,Women's Studies,05.0207,Women’s Studies
,,05.0208,Gay/Lesbian Studies (NEW)
5.0299,"Ethnic and Cultural Studies, Other",05.0299,"Ethnic, Cultural Minority, and Gender Studies, Other"
5.99,"Area, Ethnic and Cultural Studies, Other",05.99,"Area, Ethnic, Cultural, and Gender Studies, Other"
5.9999,"Area, Ethnic and Cultural Studies, Other",05.9999,"Area, Ethnic, Cultural, and Gender Studies, Other"
8,SALES AND MARKETING OPERATIONS/MARKETING AND DISTRIBUTION,08.,Series Deleted: Report Under 52. Series
8.01,Apparel and Accessories Marketing Operations,,Deleted
8.0101,"Apparel and Accessories Marketing Operations, General",52.1904,Apparel and Accessories Marketing Operations
8.0102,Fashion Merchandising,52.1902,Fashion Merchandising
8.0103,Fashion Modeling,52.1903,Fashion Modeling
8.0199,"Apparel and Accessories Marketing Operations, Other",,Deleted
8.02,Business and Personal Services Marketing Operations,,Deleted
8.0204,Business Services Marketing Operations,52.1908,Business and Personal/Financial Services Marketing Operations (NEW)
8.0205,Personal Services Marketing Operations,52.1908,Business and Personal/Financial Services Marketing Operations (NEW)
8.0299,"Business and Personal Services Marketing Operations, Other",,Deleted
8.03,Entrepreneurship,,Deleted
8.0301,Entrepreneurship,52.1801,"Sales, Distribution and Marketing Operations, General"
8.04,Financial Services Marketing Operations,,Deleted
8.0401,Financial Services Marketing Operations,52.1908,Business and Personal/Financial Services Marketing Operations (NEW)
8.05,Floristry Marketing Operations,,Deleted
8.0503,Floristry Marketing Operations,52.1909,Special Products Marketing Operations (NEW)
8.06,Food Products Retailing and Wholesaling Operations,,Deleted
8.0601,Food Products Retailing and Wholesaling Operations,52.1909,Special Products Marketing Operations (NEW)
8.0701,Auctioneering,52.1901,Auctioneering
8.0704,General Buying Operations,52.1802,Merchandising and Buying Operations
8.0705,General Retailing Operations,52.1803,Retailing and Retail Operations
8.0706,General Selling Skills and Sales Operations,52.1804,Selling Skills and Sales Operations
8.0708,General Marketing Operations,52.1801,"Sales, Distribution and Marketing Operations, General"
8.0709,General Distribution Operations,52.1801,"Sales, Distribution and Marketing Operations, General"
8.0799,"General Sales and Marketing Operations, Other",52.1899,"General Sales, Merchandising and Related Marketing Operations, Other"
8.08,Home and Office Products Marketing Operations,,Deleted
8.0809,Home Products Marketing Operations,52.1909,Special Products Marketing Operations (NEW)
8.0810,Office Products Marketing Operations,52.1909,Special Products Marketing Operations (NEW)
8.0899,"Home and Office Products Marketing Operations, Other",,Deleted
8.09,Hospitality and Recreation Marketing Operations,,Deleted
8.0901,"Hospitality and Recreation Marketing Operations, General",52.1910,Hospitality and Recreation Marketing Operations (NEW)
8.0902,Hotel/Motel Services Marketing Operations,52.1910,Hospitality and Recreation Marketing Operations (NEW)
,,52.1904, OR
,,52.1905,OR
,,52.1906, OR
8.0903,Recreation Products/Services Marketing Operations,52.1910,Hospitality and Recreation Marketing Operations (NEW)
8.0906,Food Sales Operations,52.1910,Hospitality and Recreation Marketing Operations (NEW)
8.0999,"Hospitality and Recreation Marketing Operations, Other",52.1910,Hospitality and Recreation Marketing Operations (NEW)
8.10,Insurance Marketing Operations,,Deleted
8.1001,Insurance Marketing Operations,52.1908,Business and Personal/Financial Services Marketing Operations (NEW)
8.11,Tourism and Travel Services Marketing Operations,,Deleted
8.1104,Tourism Promotion Operations,52.1906,Tourism Promotion Operations
8.1105,Travel Services Marketing Operations,52.1905,Tourism and Travel Services Marketing Operations
8.1199,"Tourism and Travel Services Marketing Operations, Other",52.1905,Tourism and Travel Services Marketing Operations
8.12,Vehicle and Petroleum Products Marketing Operations,,Deleted
8.1203,Vehicle Parts and Accessories Marketing Operations,52.1907,Vehicle and Vehicle Parts and Accessories Marketing Operations (NEW)
8.1208,Vehicle Marketing Operations,52.1907,Vehicle and Vehicle Parts and Accessories Marketing Operations (NEW)
8.1209,Petroleum Products Retailing Operations,,Deleted
8.1299,"Vehicle and Petroleum Products Marketing Operations, Other",,Deleted
8.13,Health Products and Services Marketing Operations,,Deleted
8.1301,Health Products and Services Marketing Operations,52.1909,Special Products Marketing Operations (NEW)
8.99,"Sales and Marketing Operations/Marketing and Distribution, Other",,Deleted
8.9999,"Sales and Marketing Operations/Marketing and Distribution, Other",52.1899,"General Merchandising, Sales and Related Marketing Operations, Other"
9,COMMUNICATIONS,09.,"COMMUNICATION, JOURNALISM AND RELATED PROGRAMS"
9.01,"Communications, General",09.01,Communication and Media Studies
9.0101,"Communications, General",09.0101,Communication Studies/Speech Communication and Rhetoric
,,09.0199,"Communication and Media Studies, Other(NEW)"
9.02,Advertising,,Deleted
9.0201,Advertising,09.0903,Advertising
9.04,Journalism and Mass Communications,09.04,Journalism
9.0401,Journalism,09.0401,Journalism
9.0402,Broadcast Journalism,09.0402,Broadcast Journalism
9.0403,Mass Communications,09.0102,Mass Communication/ Media Studies
,,09.0404,Photojournalism (NEW)
9.0499,"Journalism and Mass Communication, Other",09.0499,"Journalism, Other"
9.05,Public Relations and Organizational Communications,,Deleted
9.0501,Public Relations and Organizational Communications,09.0902,Public Relations/Image Management (NEW)
9.07,Radio and Television Broadcasting,09.07,"Radio, Television, and Digital Communication"
9.0701,Radio and Television Broadcasting,09.0701,Radio and Television
,,09.0702,Digital Communication and Media/Multimedia(NEW)
,,09.0799,"Radio, Television, and Digital Communication, Other (NEW)"
,,09.09,"Public Relations, Advertising, and Applied Communication, Other (NEW)"
,,09.0901,"Organizational Communication, General (NEW)"
,,09.0904,Political Communication (NEW)
,,09.0905,Health Communication (NEW)
,,09.0999,"Public Relations, Advertising, and Applied Communication, Other (NEW)"
,,09.10,Publishing (NEW)
,,09.1001,Publishing (NEW)
9.99,"Communications, Other",09.99,"Communication, Journalism and Related Programs, Other"
9.9999,"Communications, Other",09.9999,"Communication, Journalism and Related Programs, Other"
10,COMMUNICATIONS TECHNOLOGIES,10.,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES
10.01,Communications Technologies,10.01,Communications Technology/Technician
10.0101,Educational/Instructional Media Technology/Technician,13.0501,Educational/Instructional Media Design
10.0103,Photographic Technology/Technician,10.0201,Photographic and Film/ Video Technology/Technician and Assistant
10.0104,Radio and Television Broadcasting Technology/Technician,10.0202,Radio and Television Broadcasting Technology/Technician
,,10.0105,Communications Technology/Technician(NEW)
10.0199,"Communications Technologies/Technicians, Other",10.9999,"Communications Technologies/Technicians and Support Services, Other (NEW)"
,,10.02,Audiovisual Communications Technologies/Technician (NEW)
,,10.0203,Recording Arts Technology/Technician (NEW)
,,10.0299,"Audiovisual Communications Technologies/Technicians, Other (NEW)"
,,10.03,Graphic Communications (NEW)
,,10.0301,"Graphic Communications, General (NEW)"
,,10.0302,Printing Management (NEW)
,,10.0304,"Animation, Interactive Technology, Video Graphics and Special Effects (NEW)"
,,10.0399,"Graphic Communications, Other (NEW)"
,,10.99,"Communications Technologies/Technicians and Support Services, Other Special Effects (NEW)"
11,COMPUTER AND INFORMATION SCIENCES,11.,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES
11.01,"Computer and Information Sciences, General",11.01,"Computer and Information Sciences, General"
11.0101,"Computer and Information Sciences, General",11.0101,"Computer and Information Sciences, General"
,,11.0102,Artificial Intelligence and Robotics (NEW)
,,11.0103,Information Technology (NEW)
,,11.0199,"Computer Science, Other (NEW)"
11.02,Computer Programming,11.02,Computer Programming
11.0201,Computer Programming,11.0201,"Computer Programming/Programmer, General"
,,11.0202,"Computer Programming, Specific Applications(NEW)"
,,11.0203,"Computer Programming, Vendor/Product Certification (NEW)"
,,11.0299,"Computer Programming, Other (NEW)"
11.03,Data Processing Technology,11.03,Data Processing
11.0301,Data Processing Technology/Technician,11.0301,Data Processing and Data Processing Technology/Technician
11.04,Information Sciences and Systems,11.04,Information Science/Studies
11.0401,Information Sciences and Systems,11.0401,Information Science/Studies
11.05,Computer Systems Analysis,11.05,Computer Systems Analysis
11.0501,Computer Systems Analysis,11.0501,Computer Systems Analysis/Analyst
,,11.06,Data Entry/Microcomputer Applications (NEW)
,,11.0601,"Data Entry/Microcomputer Applications, General (NEW)"
,,11.0602,Word Processing (NEW)
,,11.0699,"Data Entry/Microcomputer Applications, Other(NEW)"
11.07,Computer Science,11.07,Computer Science
11.0701,Computer Science,11.0701,Computer Science
,,11.08,Computer Software and Media Applications (NEW)
,,11.0801,"Web Page, Digital/Multimedia and Information Resources Design (NEW)"
,,11.0802,Data Modeling/Warehousing and Database Administration (NEW)
,,11.0803,Computer Graphics (NEW)
,,11.0899,"Computer Software and Media Applications, Other (NEW)"
,,11.09,Computer Systems Networking and Telecommunications (NEW)
,,11.0901,Computer Systems Networking and Telecommunications (NEW)
,,11.10,Computer/Information Technology Administration and Management (NEW)
,,11.1001,System Administration/Administrator (NEW)
,,11.1002,"System, Networking, and LAN/WAN Management/Manager (NEW)"
,,11.1003,Computer and Information Systems Security(NEW)
,,11.1004,Web/Multimedia Management and Webmaster(NEW)
,,11.1099,"Computer/Information Technology Services Administration and Management, Other (NEW)"
11.99,"Computer and Information Sciences, Other",11.99,"Computer and Information Sciences and Support Services, Other"
11.9999,"Computer and Information Sciences, Other",11.9999,"Computer and Information Sciences and Support Services, Other"
12,PERSONAL AND MISCELLANEOUS SERVICES,12.,PERSONAL AND CULINARY SERVICES
12.02,Gaming and Sports Officiating Services,12.,02 Deleted
12.0203,Card Dealer,12.9999,"Personal and Culinary Services, Other"
12.0204,Umpires and Other Sports Officials,12.9999,"Personal and Culinary Services, Other"
12.0299,"Gaming and Sports Officiating Services, Other",12.9999,"Personal and Culinary Services, Other"
12.03,Funeral Services and Mortuary Science,12.03,Funeral Service and Mortuary Science
12.0301,Funeral Services and Mortuary Science,12.0301,"Funeral Service and Mortuary Science, General"
,,12.0302,Funeral Direction/Service (NEW)
,,12.0303,Mortuary Science and Embalming/Embalmer(NEW)
,,12.0399,"Funeral Service and Mortuary Science, Other(NEW)"
12.04,Cosmetic Services,12.04,Cosmetology and Related Personal Grooming Services
12.0401,"Cosmetic Services, General",12.0401,"Cosmetology/Cosmetologist, General"
12.0402,Barber/Hairstylist,12.0402,Barbering/Barber
12.0403,Cosmetologist,12.0401,"Cosmetology/Cosmetologist, General"
12.0404,Electrolysis Technician,12.0404,Electrolysis/Electrology and Electrolysis Technician
12.0405,Massage,51.3501,Massage Therapy/Therapeutic Massage
12.0406,Makeup Artist,12.0406,Make-Up Artist/Specialist
,,12.0407,Hair Styling/Stylist and Hair Design (NEW)
,,12.0408,Facial Treatment Specialist/Facialist (NEW)
,,12.0409,Aesthetician/Esthetician and Skin Care Specialist (NEW)
,,12.0410,Nail Technician/Specialist and Manicurist(NEW)
,,12.0411,Permanent Cosmetics/Makeup and Tattooing(NEW)
,,12.0412,Salon/Beauty Salon Management/Manager(NEW)
,,12.0413,"Cosmetology, Barber/Styling, and Nail Instructor (NEW)"
12.0499,"Cosmetic Services, Other",12.0499,"Cosmetology and Related Personal Grooming Arts, Other"
12.05,Culinary Arts and Related Services,12.05,Culinary Arts and Related Services
,,12.0500,"Cooking and Related Culinary Arts, General(NEW)"
12.0501,Baker/Pastry Chef,12.0501,Baking and Pastry Arts/Baker/Pastry Chef
12.0502,Bartender/Mixologist,12.0502,Bartending/Bartender
12.0503,Culinary Arts/Chef Training,12.0503,Culinary Arts/Chef Training
12.0504,Food and Beverage/Restaurant Operations Manager,12.0504,"Restaurant, Culinary, and Catering Management/Manager"
12.0505,Kitchen Personnel/Cook and Assistant Training,12.0505,Food Preparation/Professional Cooking/Kitchen Assistant
12.0506,Meatcutter,12.0506,Meat Cutting/Meat Cutter
12.0507,Waiter/Waitress and Dining Room Manager,12.0507,"Food Service, Waiter/Waitress, and Dining Room Management/Manager"
,,12.0508,Institutional Food Workers (NEW)
12.0599,"Culinary Arts and Related Services, Other",12.0599,"Culinary Arts and Related Services, Other"
12.99,"Personal and Miscellaneous Services, Other",12.99,"Personal and Culinary Services, Other"
12.9999,"Personal and Miscellaneous Services, Other",12.9999,"Personal and Culinary Services, Other"
13,EDUCATION,13.,EDUCATION
13.01,"Education, General",13.01,"Education, General"
13.0101,"Education, General",13.0101,"Education, General"
13.02,Bilingual/Bicultural Education and Teaching,13.02,"Bilingual, Multilingual, and Multicultural Education"
13.0201,Bilingual/Bicultural Education and Teaching,13.0201,Bilingual and Multilingual Education
,,13.0202,Multicultural Education (NEW)
,,13.0203,Indian/Native American Education (NEW)
,,13.0299,"Bilingual, Multilingual, and Multicultural Education, Other (NEW)"
13.03,Curriculum and Instruction,13.03,Curriculum and Instruction
13.0301,Curriculum and Instruction,13.0301,Curriculum and Instruction
13.04,Education Administration and Supervision,13.04,Educational Administration and Supervision
13.0401,"Education Administration and Supervision/Leadership, General",13.0401,"Educational Leadership and Administration, General"
13.0402,Administration of Special Education,13.0402,Administration of Special Education
13.0403,Adult and Continuing Education Administration,13.0403,Adult and Continuing Education Administration
13.0404,Educational Supervision,13.0404,"Educational, Instructional, and Curriculum Supervision"
13.0405,"Elementary, Middle and Secondary Education Administration",13.0408,Elementary and Middle School Administration/Principalship. (NEW)
,,13.0409,Secondary School Administration/Principalship(NEW)
13.0406,Higher Education Administration,13.0406,Higher Education/Higher Education Administration
13.0407,Community and Junior College Administration,13.0407,Community College Education
,,13.0410,Urban Education and Leadership (NEW)
,,13.0411,Superintendency and Educational System Administration (NEW)
13.0499,"Education Administration and Supervision/Leadership, Other",13.0499,"Educational Administration and Supervision, Other"
13.05,Educational/Instructional Media Design,13.05,Educational/Instructional Media Design
13.0501,Educational/Instructional Media Design,13.0501,Educational/Instructional Media Design
13.06,"Educational Evaluation, Research and Statistics",13.06,"Educational Assessment, Evaluation, and Research"
13.0601,Educational Evaluation and Research,13.0601,Educational Evaluation and Research
13.0603,Educational Statistics and Research Methods,13.0603,Educational Statistics and Research Methods
13.0604,"Educational Assessment, Testing and Measurement",13.0604,"Educational Assessment, Testing, and Measurement"
13.0699,"Educational Evaluation, Research and Statistics, Other",13.0699,"Educational Assessment, Evaluation, and Research, Other"
13.07,International and Comparative Education,13.07,International and Comparative Education
13.0701,International and Comparative Education,13.0701,International and Comparative Education
13.08,Educational Psychology,42.18,Educational Psychology
13.0802,Educational Psychology,42.1801,Educational Psychology
13.09,Social and Philosophical Foundations of Education,13.09,Social and Philosophical Foundations of Education
13.0901,Social and Philosophical Foundations of Education,13.0901,Social and Philosophical Foundations of Education
13.10,Special Education,13.10,Special Education and Teaching
13.1001,"Special Education, General",13.1001,"Special Education and Teaching, General"
13.1003,Education of the Deaf and Hearing Impaired,13.1003,"Education/Teaching of Individuals with Hearing Impairments, Including Deafness"
13.1004,Education of the Gifted and Talented,13.1004,Education/Teaching of the Gifted and Talented
13.1005,Education of the Emotionally Handicapped,13.1005,Education/Teaching of Individuals with Emotional Disturbances
13.1006,Education of the Mentally Handicapped,13.1006,Education/Teaching of Individuals with Mental Retardation
13.1007,Education of the Multiple Handicapped,13.1007,Education/Teaching of Individuals with Multiple Disabilities
13.1008,Education of the Physically Handicapped,13.1008,Education/Teaching of Individuals with Orthopedic and Other Physical Health Impairments
13.1009,Education of the Blind and Visually Handicapped,13.1009,"Education/Teaching of Individuals with Vision Impairments, Including Blindness"
13.1011,Education of the Specific Learning Disabled,13.1011,Education/Teaching of Individuals with Specific Learning Disabilities
13.1012,Education of the Speech Impaired,13.1012,Education/Teaching of Individuals with Speech or Language Impairments
13.1013,Education of the Autistic,13.1013,Education/Teaching of Individuals with Autism
,,13.1014,Education/Teaching of Individuals Who are Developmentally Delayed (NEW)
,,13.1015,Education/Teaching of Individuals in Early Childhood Special Education Programs (NEW)
,,13.1016,Education/Teaching of Individuals with Traumatic Brain Injuries (NEW)
13.1099,"Special Education, Other",13.1099,"Special Education and Teaching, Other"
13.11,Student Counseling and Personnel Services,13.11,Student Counseling and Personnel Services
13.1101,Counselor Education Counseling and Guidance Services,13.1101,Counselor Education/School Counseling and Guidance Services
13.1102,College/Postsecondary Student Counseling and Personnel Services,13.1102,College Student Counseling and Personnel Services
,,13.1199,"Student Counseling and Personnel Services, Other (NEW)"
13.12,General Teacher Education,13.12,"Teacher Education and Professional Development, Specific Levels and Methods"
13.1201,Adult and Continuing Teacher Education,13.1201,Adult and Continuing Education and Teaching
13.1202,Elementary Teacher Education,13.1202,Elementary Education and Teaching
13.1203,Junior High/Intermediate/Middle School Teacher Education,13.1203,Junior High/Intermediate/Middle School Education and Teaching
13.1204,Pre-Elementary/Early Childhood/Kindergarten Teacher Education,13.1209,Kindergarten/Preschool Education and Teaching. (NEW)
,,13.1210,Early Childhood Education and Teaching(NEW)
