"Year"	"total"	"variable"	"count"	"source"	"junk"	"Population"
1996	1179466	"All Others"	1086003	"Caspar"	"36,797"	3679700
1997	1187567	"English"	47863	"Caspar"	"37,308"	3730800
1997	1187567	"History"	25253	"Caspar"	"37,308"	3730800
1997	1187567	"Languages"	13205	"Caspar"	"37,308"	3730800
1997	1187567	"Philosophy"	4529	"Caspar"	"37,308"	3730800
1997	1187567	"All Others"	1096717	"Caspar"	"37,308"	3730800
1998	1198938	"English"	48167	"Caspar"	"38,007"	3800700
1998	1198938	"History"	25751	"Caspar"	"38,007"	3800700
1998	1198938	"Languages"	13848	"Caspar"	"38,007"	3800700
1998	1198938	"Philosophy"	4861	"Caspar"	"38,007"	3800700
1998	1198938	"All Others"	1106311	"Caspar"	"38,007"	3800700
1999	1217869	"English"	49042	"Caspar"	"38,676"	3867600
1999	1217869	"History"	24752	"Caspar"	"38,676"	3867600
1999	1217869	"Languages"	14395	"Caspar"	"38,676"	3867600
1999	1217869	"Philosophy"	4771	"Caspar"	"38,676"	3867600
1999	1217869	"All Others"	1124909	"Caspar"	"38,676"	3867600
2000	1254618	"English"	49286	"Caspar"	"19,126"	3825133.6
2000	1254618	"History"	25204	"Caspar"	"19,126"	3825133.6
2000	1254618	"Languages"	14355	"Caspar"	"19,126"	3825133.6
2000	1254618	"Philosophy"	4788	"Caspar"	"19,126"	3825133.6
2000	1254618	"All Others"	1160985	"Caspar"	"19,126"	3825133.6
2001	1260308	"English"	49533	"Caspar"	"19,802"	3960303.6
2001	1260308	"History"	25057	"Caspar"	"19,802"	3960303.6
2001	1260308	"Languages"	14497	"Caspar"	"19,802"	3960303.6
2001	1260308	"Philosophy"	4836	"Caspar"	"19,802"	3960303.6
2001	1260308	"All Others"	1166385	"Caspar"	"19,802"	3960303.6
2002	1308970	"English"	51156	"Caspar"	"20,317"	4063440
2002	1308970	"History"	25960	"Caspar"	"20,317"	4063440
2002	1308970	"Languages"	14577	"Caspar"	"20,317"	4063440
2002	1308970	"Philosophy"	5382	"Caspar"	"20,317"	4063440
2002	1308970	"All Others"	1211895	"Caspar"	"20,317"	4063440
2003	1365694	"English"	52160	"Caspar"	"20,685"	4137019.8
2003	1365694	"History"	27795	"Caspar"	"20,685"	4137019.8
2003	1365694	"Languages"	15226	"Caspar"	"20,685"	4137019.8
2003	1365694	"Philosophy"	5813	"Caspar"	"20,685"	4137019.8
2003	1365694	"All Others"	1264700	"Caspar"	"20,685"	4137019.8
2004	1417421	"English"	52067	"Caspar"	"20,959"	4191737.2
2004	1417421	"History"	29866	"Caspar"	"20,959"	4191737.2
2004	1417421	"Languages"	15792	"Caspar"	"20,959"	4191737.2
2004	1417421	"Philosophy"	6325	"Caspar"	"20,959"	4191737.2
2004	1417421	"All Others"	1313371	"Caspar"	"20,959"	4191737.2
2005	1456401	"English"	52464	"Caspar"	"21,081"	4216243.8
2005	1456401	"History"	31541	"Caspar"	"21,081"	4216243.8
2005	1456401	"Languages"	16364	"Caspar"	"21,081"	4216243.8
2005	1456401	"Philosophy"	6760	"Caspar"	"21,081"	4216243.8
2005	1456401	"All Others"	1349272	"Caspar"	"21,081"	4216243.8
2006	1502922	"English"	53039	"Caspar"	"21,161"	4232232.4
2006	1502922	"History"	33295	"Caspar"	"21,161"	4232232.4
2006	1502922	"Languages"	17269	"Caspar"	"21,161"	4232232.4
2006	1502922	"Philosophy"	6984	"Caspar"	"21,161"	4232232.4
2006	1502922	"All Others"	1392335	"Caspar"	"21,161"	4232232.4
2007	1541704	"English"	53040	"Caspar"	"21,217"	4243421.6
2007	1541704	"History"	34571	"Caspar"	"21,217"	4243421.6
2007	1541704	"Languages"	17907	"Caspar"	"21,217"	4243421.6
2007	1541704	"Philosophy"	6980	"Caspar"	"21,217"	4243421.6
2007	1541704	"All Others"	1429206	"Caspar"	"21,217"	4243421.6
2008	1580413	"English"	52684	"Caspar"	"21,322"	4264450.6
2008	1580413	"History"	34607	"Caspar"	"21,322"	4264450.6
2008	1580413	"Languages"	18517	"Caspar"	"21,322"	4264450.6
2008	1580413	"Philosophy"	7179	"Caspar"	"21,322"	4264450.6
2008	1580413	"All Others"	1467426	"Caspar"	"21,322"	4264450.6
2009	1619028	"English"	53072	"Caspar"	"21,540"	4307911.8
2009	1619028	"History"	34957	"Caspar"	"21,540"	4307911.8
2009	1619028	"Languages"	18702	"Caspar"	"21,540"	4307911.8
2009	1619028	"Philosophy"	7451	"Caspar"	"21,540"	4307911.8
2009	1619028	"All Others"	1504846	"Caspar"	"21,540"	4307911.8
2010	1668227	"English"	51193	"Caspar"	"fdf"	4340600
2010	1668227	"History"	35417	"Caspar"	"fdf"	4340600
2010	1668227	"Languages"	18937	"Caspar"	"fdf"	4340600
2010	1668227	"Philosophy"	7496	"Caspar"	"fdf"	4340600
2010	1668227	"All Others"	1555184	"Caspar"	"fdf"	4340600
2011	1734229	"English"	50485	"Caspar"	"fdf"	4430600
2011	1734229	"History"	35187	"Caspar"	"fdf"	4430600
2011	1734229	"Languages"	18914	"Caspar"	"fdf"	4430600
2011	1734229	"Philosophy"	7534	"Caspar"	"fdf"	4430600
2011	1734229	"All Others"	1622109	"Caspar"	"fdf"	4430600
