"CIPCode2000","CIPTitle2000","Action","Text change","CIPCode2010","CIPTitle2010"
="10.99","Communications Technologies/Technicians and Support Services, Other.","No substantive changes",no,="10.99","Communications Technologies/Technicians and Support Services, Other."
="10.9999","Communications Technologies/Technicians and Support Services, Other.","No substantive changes",no,="10.9999","Communications Technologies/Technicians and Support Services, Other."
="11","COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.","No substantive changes",no,="11","COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES."
="11.01","Computer and Information Sciences, General .","No substantive changes",no,="11.01","Computer and Information Sciences, General."
="11.0101","Computer and Information Sciences, General.","No substantive changes",yes,="11.0101","Computer and Information Sciences, General."
="11.0102","Artificial Intelligence and Robotics.","No substantive changes",yes,="11.0102","Artificial Intelligence."
="11.0103","Information Technology.","No substantive changes",no,="11.0103","Information Technology."
"","","New",no,="11.0104","Informatics."
="11.0199","Computer and Information Sciences,  Other.","No substantive changes",no,="11.0199","Computer and Information Sciences,  Other."
="11.02","Computer Programming.","No substantive changes",no,="11.02","Computer Programming."
="11.0201","Computer Programming/Programmer, General.","No substantive changes",no,="11.0201","Computer Programming/Programmer, General."
="11.0202","Computer Programming, Specific Applications.","No substantive changes",no,="11.0202","Computer Programming, Specific Applications."
="11.0203","Computer Programming, Vendor/Product Certification.","No substantive changes",no,="11.0203","Computer Programming, Vendor/Product Certification."
="11.0299","Computer Programming, Other.","No substantive changes",no,="11.0299","Computer Programming, Other."
="11.03","Data Processing.","No substantive changes",no,="11.03","Data Processing."
="11.0301","Data Processing and Data Processing Technology/Technician.","No substantive changes",no,="11.0301","Data Processing and Data Processing Technology/Technician."
="11.04","Information Science/Studies.","No substantive changes",no,="11.04","Information Science/Studies."
="11.0401","Information Science/Studies.","No substantive changes",no,="11.0401","Information Science/Studies."
="11.05","Computer Systems Analysis.","No substantive changes",no,="11.05","Computer Systems Analysis."
="11.0501","Computer Systems Analysis/Analyst.","No substantive changes",no,="11.0501","Computer Systems Analysis/Analyst."
="11.06","Data Entry/Microcomputer Applications.","No substantive changes",no,="11.06","Data Entry/Microcomputer Applications."
="11.0601","Data Entry/Microcomputer Applications, General.","No substantive changes",no,="11.0601","Data Entry/Microcomputer Applications, General."
="11.0602","Word Processing.","No substantive changes",no,="11.0602","Word Processing."
="11.0699","Data Entry/Microcomputer Applications, Other.","No substantive changes",no,="11.0699","Data Entry/Microcomputer Applications, Other."
="11.07","Computer Science.","No substantive changes",no,="11.07","Computer Science."
="11.0701","Computer Science.","No substantive changes",yes,="11.0701","Computer Science."
="11.08","Computer Software and Media Applications.","No substantive changes",no,="11.08","Computer Software and Media Applications."
="11.0801","Web Page, Digital/Multimedia and Information Resources Design.","No substantive changes",no,="11.0801","Web Page, Digital/Multimedia and Information Resources Design."
="11.0802","Data Modeling/Warehousing and Database Administration.","No substantive changes",no,="11.0802","Data Modeling/Warehousing and Database Administration."
="11.0803","Computer Graphics.","No substantive changes",no,="11.0803","Computer Graphics."
"","","New",no,="11.0804","Modeling, Virtual Environments and Simulation."
="11.0899","Computer Software and Media Applications, Other.","No substantive changes",no,="11.0899","Computer Software and Media Applications, Other."
="11.09","Computer Systems Networking and Telecommunications.","No substantive changes",no,="11.09","Computer Systems Networking and Telecommunications."
="11.0901","Computer Systems Networking and Telecommunications.","No substantive changes",no,="11.0901","Computer Systems Networking and Telecommunications."
="11.10","Computer/Information Technology Administration and Management.","No substantive changes",no,="11.10","Computer/Information Technology Administration and Management."
="11.1001","System Administration/Administrator.","No substantive changes",yes,="11.1001","Network and System Administration/Administrator."
="11.1002","System, Networking, and LAN/WAN Management/Manager.","No substantive changes",no,="11.1002","System, Networking, and LAN/WAN Management/Manager."
="11.1003","Computer and Information Systems Security.","No substantive changes",yes,="11.1003","Computer and Information Systems Security/Information Assurance."
="11.1004","Web/Multimedia Management and Webmaster.","No substantive changes",no,="11.1004","Web/Multimedia Management and Webmaster."
"","","New",no,="11.1005","Information Technology Project Management."
"","","New",no,="11.1006","Computer Support Specialist."
="11.1099","Computer/Information Technology Services Administration andManagement, Other.","No substantive changes",no,="11.1099","Computer/Information Technology Services Administration and Management, Other."
="11.99","Computer and Information Sciences and Support Services, Other.","No substantive changes",no,="11.99","Computer and Information Sciences and Support Services, Other."
="11.9999","Computer and Information Sciences and Support Services, Other.","No substantive changes",no,="11.9999","Computer and Information Sciences and Support Services, Other."
="12","PERSONAL AND CULINARY SERVICES.","No substantive changes",no,="12","PERSONAL AND CULINARY SERVICES."
="12.03","Funeral Service and Mortuary Science.","No substantive changes",no,="12.03","Funeral Service and Mortuary Science."
="12.0301","Funeral Service and Mortuary Science, General.","No substantive changes",no,="12.0301","Funeral Service and Mortuary Science, General."
="12.0302","Funeral Direction/Service.","No substantive changes",no,="12.0302","Funeral Direction/Service."
="12.0303","Mortuary Science and Embalming/Embalmer.","No substantive changes",no,="12.0303","Mortuary Science and Embalming/Embalmer."
="12.0399","Funeral Service and Mortuary Science, Other.","No substantive changes",no,="12.0399","Funeral Service and Mortuary Science, Other."
="12.04","Cosmetology and Related Personal Grooming Services.","No substantive changes",no,="12.04","Cosmetology and Related Personal Grooming Services."
="12.0401","Cosmetology/Cosmetologist, General.","No substantive changes",no,="12.0401","Cosmetology/Cosmetologist, General."
="12.0402","Barbering/Barber.","No substantive changes",no,="12.0402","Barbering/Barber."
="12.0404","Electrolysis/Electrology and Electrolysis Technician.","No substantive changes",no,="12.0404","Electrolysis/Electrology and Electrolysis Technician."
="12.0406","Make-Up Artist/Specialist.","No substantive changes",no,="12.0406","Make-Up Artist/Specialist."
="12.0407","Hair Styling/Stylist and Hair Design.","No substantive changes",no,="12.0407","Hair Styling/Stylist and Hair Design."
="12.0408","Facial Treatment Specialist/Facialist.","No substantive changes",no,="12.0408","Facial Treatment Specialist/Facialist."
="12.0409","Aesthetician/Esthetician and Skin Care Specialist.","No substantive changes",no,="12.0409","Aesthetician/Esthetician and Skin Care Specialist."
="12.0410","Nail Technician/Specialist and Manicurist.","No substantive changes",no,="12.0410","Nail Technician/Specialist and Manicurist."
="12.0411","Permanent Cosmetics/Makeup and Tattooing.","No substantive changes",no,="12.0411","Permanent Cosmetics/Makeup and Tattooing."
="12.0412","Salon/Beauty Salon Management/Manager.","No substantive changes",no,="12.0412","Salon/Beauty Salon Management/Manager."
="12.0413","Cosmetology, Barber/Styling, and Nail Instructor.","No substantive changes",no,="12.0413","Cosmetology, Barber/Styling, and Nail Instructor."
"","","New",no,="12.0414","Master Aesthetician/Esthetician."
="12.0499","Cosmetology and Related Personal Grooming Arts, Other.","No substantive changes",no,="12.0499","Cosmetology and Related Personal Grooming Arts, Other."
