CIPCODE,CIPTitle,Discipline,Historical Categories,Associates, Bachelors,Masters,Doctoral
3.0104,Environmental Science,Environment and Conservation,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
3.0188,Environmental Science/Studies,Environment and Conservation,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
3.0199,"Natural Resources Conservation and Research,  Other",Environment and Conservation,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
3.0201,Natural Resources Management and Policy,Environment and Conservation,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
3.0204,Natural Resource Economics,Environment and Conservation,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
3.0205,"Water, Wetlands, and Marine Resources Management",Environment and Conservation,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
3.0206,Land Use Planning and Management/Development,Environment and Conservation,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
3.0207,Natural Resource Recreation and Tourism,Environment and Conservation,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
3.0208,Natural Resources Law Enforcement and Protective Services,Environment and Conservation,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
3.0299,"Natural Resources Management and Policy, Other",Environment and Conservation,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
3.0301,Fishing and Fisheries Sciences and Management,Environment and Conservation,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
3.0404,Forest Products Technology/Technician,Environment and Conservation,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
3.0405,Logging/Timber Harvesting,Environment and Conservation,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
3.0499,"Forest Production and Processing, Other",Environment and Conservation,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
3.0501,"Forestry, General",Environment and Conservation,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
3.0502,Forest Sciences and Biology,Environment and Conservation,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
3.0506,Forest Management/ Forest Resources Management,Environment and Conservation,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
3.0508,Urban Forestry,Environment and Conservation,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
3.0509,Wood Science and Wood Products/Pulp and Paper Tech,Environment and Conservation,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
3.051,Forest Resources Production and Management,Environment and Conservation,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
3.0511,Forestry Technology/Technician,Environment and Conservation,,Professional/Vocational,Business & Management,Business & Management,Business & Management
3.0599,"Forestry, Other",Environment and Conservation,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
3.0601,"Wildlife, Fish and Wildlands Science and Management",Environment and Conservation,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
3.9999,"Natural Resources and Conservation, Other",Environment and Conservation,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
4.0201,Architecture,Architecture,,Other/Unknown,Other/Unknown,Other/Unknown,Other/Unknown
4.0301,"City/Urban, Community and Regional Planning",Architecture,,Other/Unknown,Other/Unknown,Other/Unknown,Other/Unknown
4.0401,Environmental Design/Architecture,Architecture,,Other/Unknown,Other/Unknown,Other/Unknown,Other/Unknown
4.0501,Interior Architecture,Architecture,,Other/Unknown,Other/Unknown,Other/Unknown,Other/Unknown
4.0601,Landscape Architecture,Architecture,,Other/Unknown,Other/Unknown,Other/Unknown,Other/Unknown
4.0701,Architectural Urban Design and Planning,Architecture,,Other/Unknown,Other/Unknown,Other/Unknown,Other/Unknown
4.0801,"Architectural History and Criticism, General",Study of the Arts,,Humanities,Humanities,Humanities,Humanities
4.0901,Architectural Technology/Technician,Architecture,,Other/Unknown,Other/Unknown,Other/Unknown,Other/Unknown
4.0902,Architectural and Building Sciences/Technology,Architecture,,Other/Unknown,Other/Unknown,Other/Unknown,Other/Unknown
4.0999,"Architectural Sciences and Technology, Other",Architecture,,Other/Unknown,Other/Unknown,Other/Unknown,Other/Unknown
4.1001,Real Estate Development,Architecture,,Professional/Vocational,Business & Management,Business & Management,Business & Management
4.9999,"Architecture and Related Services, Other",Architecture,,Other/Unknown,Other/Unknown,Other/Unknown,Other/Unknown
5.0101,African Studies,Area Studies,,Humanities,Humanities,Humanities,Humanities
5.0102,American/United States Studies/Civilization,Area Studies,,Humanities,Humanities,Humanities,Humanities
5.0103,Asian Studies/Civilization,Area Studies,,Humanities,Humanities,Humanities,Humanities
5.0104,East Asian Studies,Area Studies,,Humanities,Humanities,Humanities,Humanities
5.0105,"Russian, Central European, East European and Eurasian Studies",Area Studies,,Humanities,Humanities,Humanities,Humanities
5.0106,European Studies/Civilization,Area Studies,,Humanities,Humanities,Humanities,Humanities
5.0107,Latin American Studies,Area Studies,,Humanities,Humanities,Humanities,Humanities
5.0108,Near and Middle Eastern Studies,Area Studies,,Humanities,Humanities,Humanities,Humanities
5.0109,Pacific Area/Pacific Rim Studies,Area Studies,,Humanities,Humanities,Humanities,Humanities
5.011,Russian Studies,Area Studies,,Humanities,Humanities,Humanities,Humanities
5.0111,Scandinavian Studies,Area Studies,,Humanities,Humanities,Humanities,Humanities
5.0112,South Asian Studies,Area Studies,,Humanities,Humanities,Humanities,Humanities
5.0113,Southeast Asian Studies,Area Studies,,Humanities,Humanities,Humanities,Humanities
5.0114,Western European Studies,Area Studies,,Humanities,Humanities,Humanities,Humanities
5.0115,Canadian Studies,Area Studies,,Humanities,Humanities,Humanities,Humanities
5.0118,Slavic Studies,Area Studies,,Humanities,Humanities,Humanities,Humanities
5.0119,Caribbean Studies,Area Studies,,Humanities,Humanities,Humanities,Humanities
5.012,Ural-Altaic and Central Asian Studies,Area Studies,,Humanities,Humanities,Humanities,Humanities
5.0121,Commonwealth Studies,Area Studies,,Humanities,Humanities,Humanities,Humanities
5.0122,"Regional Studies (U.S., Canadian, Foreign",Area Studies,,Humanities,Humanities,Humanities,Humanities
5.0123,Chinese Studies,Area Studies,,Humanities,Humanities,Humanities,Humanities
5.0124,French Studies,Area Studies,,Humanities,Humanities,Humanities,Humanities
5.0125,German Studies,Area Studies,,Humanities,Humanities,Humanities,Humanities
5.0126,Italian Studies,Area Studies,,Humanities,Humanities,Humanities,Humanities
5.0127,Japanese Studies,Area Studies,,Humanities,Humanities,Humanities,Humanities
5.0128,Korean Studies,Area Studies,,Humanities,Humanities,Humanities,Humanities
5.013,Spanish and Iberian Studies,Area Studies,,Humanities,Humanities,Humanities,Humanities
5.0131,Tibetan Studies,Area Studies,,Humanities,Humanities,Humanities,Humanities
5.0133,Irish Studies,Area Studies,,Humanities,Humanities,Humanities,Humanities
5.0134,Latin American and Caribbean Studies,Area Studies,,Humanities,Humanities,Humanities,Humanities
5.0199,"Area Studies, Other",Area Studies,,Humanities,Humanities,Humanities,Humanities
5.02,Ethnic Studies,"Cultural, Ethnic, and Gender Studies",,Humanities,Humanities,Humanities,Humanities
5.0201,African-American/Black Studies,"Cultural, Ethnic, and Gender Studies",,Humanities,Humanities,Humanities,Humanities
5.0202,American Indian/Native American Studies,"Cultural, Ethnic, and Gender Studies",,Humanities,Humanities,Humanities,Humanities
5.0203,"Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies","Cultural, Ethnic, and Gender Studies",,Humanities,Humanities,Humanities,Humanities
5.0204,Islamic Studies,Religion,,Humanities,Humanities,Humanities,Humanities
5.0205,Jewish/Judaic Studies,Religion,,Humanities,Humanities,Humanities,Humanities
5.0206,Asian-American Studies,"Cultural, Ethnic, and Gender Studies",,Humanities,Humanities,Humanities,Humanities
5.0207,Women's Studies,"Cultural, Ethnic, and Gender Studies",,Humanities,Humanities,Humanities,Humanities
5.0208,Gay/Lesbian Studies,"Cultural, Ethnic, and Gender Studies",,Humanities,Humanities,Humanities,Humanities
5.0209,Folklore Studies,Folklore,,Humanities,Humanities,Humanities,Humanities
5.021,Disability Studies,"Cultural, Ethnic, and Gender Studies",,Humanities,Humanities,Humanities,Humanities
5.0211,Deaf Studies,"Cultural, Ethnic, and Gender Studies",,Humanities,Humanities,Humanities,Humanities
5.0299,"Ethnic, Cultural Minority, Gender, and Group Studies, Other","Cultural, Ethnic, and Gender Studies",,Humanities,Humanities,Humanities,Humanities
5.9999,"Area, Ethnic, Cultural, and Gender Studies, Other","Cultural, Ethnic, and Gender Studies",,Humanities,Humanities,Humanities,Humanities
8.0199,"Apparel/Accessories Marketing Operations, Other",Marketing,,Professional/Vocational,Business & Management,Business & Management,Business & Management
8.0205,Personal Services Marketing Operations,Marketing,,Professional/Vocational,Business & Management,Business & Management,Business & Management
8.0299,"Business/Personal Svcs Marketing Oper, Other",Marketing,,Professional/Vocational,Business & Management,Business & Management,Business & Management
8.0401,Financial Services Marketing Operations,Marketing,,Professional/Vocational,Business & Management,Business & Management,Business & Management
8.0601,Food Products Retailing and Wholesaling Oper,Marketing,,Professional/Vocational,Business & Management,Business & Management,Business & Management
8.0708,General Marketing Operations,Marketing,,Professional/Vocational,Business & Management,Business & Management,Business & Management
8.0709,General Distribution Operations,Marketing,,Professional/Vocational,Business & Management,Business & Management,Business & Management
8.0809,Home Products Marketing Operations,Marketing,,Professional/Vocational,Business & Management,Business & Management,Business & Management
8.081,Office Products Marketing Operations,Marketing,,Professional/Vocational,Business & Management,Business & Management,Business & Management
8.0899,"Home/Office Products Marketing Operations, Other",Marketing,,Professional/Vocational,Business & Management,Business & Management,Business & Management
8.0902,Hotel/Motel Services Marketing Operations,Marketing,,Professional/Vocational,Business & Management,Business & Management,Business & Management
8.0903,Recreation Products/Services Marketing Oper,Marketing,,Professional/Vocational,Business & Management,Business & Management,Business & Management
8.0906,Food Sales Operations,Marketing,,Professional/Vocational,Business & Management,Business & Management,Business & Management
8.0999,"Hospitality/Recreation Marketing Oper, Other",Marketing,,Professional/Vocational,Business & Management,Business & Management,Business & Management
8.1001,Insurance Marketing Operations,Marketing,,Professional/Vocational,Business & Management,Business & Management,Business & Management
8.1199,"Tourism/Travel Services Marketing Oper, Other",Marketing,,Professional/Vocational,Business & Management,Business & Management,Business & Management
8.1208,Vehicle Marketing Operations,Marketing,,Professional/Vocational,Business & Management,Business & Management,Business & Management
8.1299,"Vehicle/Petroleum Products Mkting Oper, Other",Marketing,,Professional/Vocational,Business & Management,Business & Management,Business & Management
8.1301,Health Products and Services Marketing Oper,Marketing,,Professional/Vocational,Business & Management,Business & Management,Business & Management
8.9999,"Marketing Operations/Marketing & Dist., Other",Marketing,,Professional/Vocational,Business & Management,Business & Management,Business & Management
9.01,"Communication, General",Communication,,Humanities,Humanities,Humanities,Humanities
9.0101,Speech Communication and Rhetoric,Communication,,Humanities,Humanities,Humanities,Humanities
9.0102,Mass Communication/ Media Studies,Communication,,Humanities,Humanities,Humanities,Humanities
9.0199,"Communication and Media Studies, Other",Communication,,Humanities,Humanities,Humanities,Humanities
9.0401,Journalism,Communication,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
9.0402,Broadcast Journalism,Communication,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
9.0404,Photojournalism,Communication,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
9.0499,"Journalism, Other",Communication,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
9.0701,Radio and Television,Communication,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
9.0702,Digital Communication and Media/Multimedia,Communication,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
9.0799,"Radio, Television, and Digital Communication, Other",Communication,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
9.09,"Public Relations, Advertising, and Applied Communication",Communication,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
9.0901,"Organizational Communication, General",Communication,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
9.0902,Public Relations/Image Management,Communication,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
9.0903,Advertising,Communication,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
9.0904,Political Communication,Communication,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
9.0905,Health Communication,Communication,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
9.0906,Sports Communication,Communication,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
9.0907,International and Intercultural Communication,Communication,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
9.0908,Technical and Scientific Communication,Communication,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
9.0999,"Public Relations, Advertising, and Applied Communication, Other",Communication,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
9.1001,Publishing,Communication,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
9.9999,"Communication, Journalism and Related Programs, Other",Communication,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
10.0101,Educational/Instruct Media Tech,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
10.0105,Communications Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
10.0201,Photographic  and Film/ Video Technology/Technician and Assistant,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
10.0202,Radio and Television Broadcasting Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
10.0203,Recording Arts Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
10.0299,"Audiovisual Communications Technologies/Technicians, Other",Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
10.0301,"Graphic Communications, General",Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
10.0302,Printing Management,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
10.0303,Prepress/Desktop Publishing and Digital Imaging Design,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
10.0304,"Animation, Interactive Technology, Video Graphics and  Special  Effects",Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
10.0305,"Graphic and Printing Equipment Operator, General Production",Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
10.0306,Platemaker/Imager,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
10.0307,Printing Press Operator,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
10.0308,Computer Typography and Composition Equipment Operator,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
10.0399,"Graphic Communications, Other",Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
10.9999,"Communications Technologies/Technicians and Support Services, Other",Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
11.0101,"Computer and Information Sciences, General",Computer Science,,Professional/Vocational,Engineering,Engineering,Engineering
11.0102,Artificial Intelligence,Computer Science,,Professional/Vocational,Engineering,Engineering,Engineering
11.0103,Information Technology,Computer Science,,Professional/Vocational,Engineering,Engineering,Engineering
11.0104,Informatics,Computer Science,,Professional/Vocational,Engineering,Engineering,Engineering
11.0199,"Computer Science, Other",Computer Science,,Professional/Vocational,Engineering,Engineering,Engineering
11.0201,"Computer Programming/Programmer, General",Computer Science,,Professional/Vocational,Engineering,Engineering,Engineering
11.0202,Computer Programming Special Applications,Computer Science,,Professional/Vocational,Engineering,Engineering,Engineering
11.0203,"Computer Programming, Vendor/Product Certification",Computer Science,,Professional/Vocational,Engineering,Engineering,Engineering
11.0299,"Computer Programming, Other",Computer Science,,Professional/Vocational,Engineering,Engineering,Engineering
11.0301,Data Processing and Data Processing Technology/Technician,Computer Science,,Professional/Vocational,Engineering,Engineering,Engineering
11.0401,Information Science/Studies,Computer Science,,Professional/Vocational,Engineering,Engineering,Engineering
11.0501,Computer Systems Analysis/Analyst,Computer Science,,Professional/Vocational,Engineering,Engineering,Engineering
11.0601,"Data Entry/Microcomputer Applications, General",Business,,Professional/Vocational,Business & Management,Business & Management,Business & Management
11.0602,Word Processing,Business,,Professional/Vocational,Business & Management,Business & Management,Business & Management
11.0699,"Data Entry/Microcomputer Applications, Other",Business,,Professional/Vocational,Business & Management,Business & Management,Business & Management
11.0701,Computer Science,Computer Science,,Professional/Vocational,Engineering,Engineering,Engineering
11.0801,"Web Page, Digital/Multimedia and Information Resources Design",Computer Science,,Professional/Vocational,Engineering,Engineering,Engineering
11.0802,Data Modeling/Warehousing and Database Administration,Computer Science,,Professional/Vocational,Engineering,Engineering,Engineering
11.0803,Computer Graphics,Computer Science,,Professional/Vocational,Engineering,Engineering,Engineering
11.0804,"Modeling, Virtual Environments and Simulation",Computer Science,,Professional/Vocational,Engineering,Engineering,Engineering
11.0899,"Computer Software and Media Applications, Other",Computer Science,,Professional/Vocational,Engineering,Engineering,Engineering
11.0901,Computer Systems Networking and Telecommunications,Computer Science,,Professional/Vocational,Engineering,Engineering,Engineering
11.1001,Network and System Administration/Administrator,Computer Science,,Professional/Vocational,Engineering,Engineering,Engineering
11.1002,"System, Networking, and LAN/WAN Management/Manager",Computer Science,,Professional/Vocational,Engineering,Engineering,Engineering
11.1003,Computer and Information Systems Security/Information Assurance,Computer Science,,Professional/Vocational,Engineering,Engineering,Engineering
11.1004,Web/Multimedia Management and Webmaster,Computer Science,,Professional/Vocational,Engineering,Engineering,Engineering
11.1005,Information Technology Project Management,Computer Science,,Professional/Vocational,Engineering,Engineering,Engineering
11.1006,Computer Support Specialist,Computer Science,,Professional/Vocational,Engineering,Engineering,Engineering
11.1099,"Computer/Information Technology Services Administration and Management, Other",Computer Science,,Professional/Vocational,Engineering,Engineering,Engineering
11.9999,"Computer and Information Sciences and Support Services, Other",Computer Science,,Professional/Vocational,Engineering,Engineering,Engineering
12.0299,"Gaming and Sports Officiating Services, Other",Personal Services,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
12.0301,"Funeral Service and Mortuary Science, General",Personal Services,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
12.0302,Funeral Direction/Service,Personal Services,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
12.0303,Mortuary Science and Embalming/Embalmer,Personal Services,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
12.0399,"Funeral Service and Mortuary Science, Other",Personal Services,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
12.0401,"Cosmetology/Cosmetologist, General",Personal Services,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
12.0402,Barbering/Barber,Personal Services,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
12.0403,Cosmetologist,Personal Services,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
12.0404,Electrolysis/Electrology and Electrolysis Technician,Personal Services,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
12.0406,Make-Up Artist/Specialist,Personal Services,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
12.0407,Hair Styling/Stylist and Hair Design,Personal Services,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
12.0408,Facial Treatment Specialist/Facialist,Personal Services,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
12.0409,Aesthetician/Esthetician and Skin Care Specialist,Personal Services,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
12.041,Nail Technician/Specialist and Manicurist,Personal Services,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
12.0412,Salon/Beauty Salon Management/Manager,Personal Services,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
12.0413,"Cosmetology, Barber/Styling, and Nail Instructor",Personal Services,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
12.0499,"Cosmetology and Related Personal Grooming Arts, Other",Personal Services,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
12.05,"Cooking and Related Culinary Arts, General",Personal Services,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
