Bachelors,Discipline,year,degrees,percent,label
Engineering,Computer Science,2012,49311,0.025823266862418877,Engineering: Computer Science
Engineering,Computer Science,2013,53162,0.02711711900121349,Engineering: Computer Science
Engineering,Computer Science,2014,58007,0.02915904894660567,Engineering: Computer Science
Engineering,Computer Science,2015,62422,0.03097881379063916,Engineering: Computer Science
Engineering,Computer Science,2016,67786,0.033205008819759005,Engineering: Computer Science
Engineering,Computer Science,2017,75664,0.03637947663634082,Engineering: Computer Science
Engineering,Engineering,1999,42366,0.03463190016046457,Engineering: Engineering
Engineering,Engineering,2e3,41429,0.032900238320054065,Engineering: Engineering
Engineering,Engineering,2001,40685,0.030839889541877743,Engineering: Engineering
Engineering,Engineering,2002,41503,0.030183429258792197,Engineering: Engineering
Engineering,Engineering,2003,40681,0.028354523195005043,Engineering: Engineering
Engineering,Engineering,2004,42828,0.02870153499733612,Engineering: Engineering
Engineering,Engineering,2005,44333,0.028835784393435798,Engineering: Engineering
Engineering,Engineering,2006,48004,0.03032778444301663,Engineering: Engineering
Engineering,Engineering,2007,49486,0.03043443766770583,Engineering: Engineering
Engineering,Engineering,2008,52176,0.03137415252326333,Engineering: Engineering
Engineering,Engineering,2009,53917,0.03166319107790624,Engineering: Engineering
Engineering,Engineering,2010,57660,0.03282158004657408,Engineering: Engineering
Engineering,Engineering,2011,61151,0.0334590146084648,Engineering: Engineering
Engineering,Engineering,2012,65416,0.03425716016856266,Engineering: Engineering
Engineering,Engineering,2013,68936,0.03516319392550418,Engineering: Engineering
Engineering,Engineering,2014,73630,0.037012442876524825,Engineering: Engineering
Engineering,Engineering,2015,77984,0.03870192904183147,Engineering: Engineering
Engineering,Engineering,2016,84847,0.04156234891172354,Engineering: Engineering
Engineering,Engineering,2017,91292,0.043893465599027626,Engineering: Engineering
Fine & Performing Arts,Arts,1999,39279,0.03210844560267403,Fine & Performing Arts: Arts
Fine & Performing Arts,Arts,2e3,44147,0.03505869852314627,Fine & Performing Arts: Arts
Fine & Performing Arts,Arts,2001,47146,0.035737432280726754,Fine & Performing Arts: Arts
Fine & Performing Arts,Arts,2002,52122,0.03790619231927251,Fine & Performing Arts: Arts
Fine & Performing Arts,Arts,2003,54773,0.038176600844620615,Fine & Performing Arts: Arts
Fine & Performing Arts,Arts,2004,59585,0.039931375801257885,Fine & Performing Arts: Arts
Fine & Performing Arts,Arts,2005,62651,0.04075047319227542,Fine & Performing Arts: Arts
Fine & Performing Arts,Arts,2006,64270,0.040604256023512184,Fine & Performing Arts: Arts
Fine & Performing Arts,Arts,2007,65330,0.040178673015220906,Fine & Performing Arts: Arts
Fine & Performing Arts,Arts,2008,66554,0.04001984335773665,Fine & Performing Arts: Arts
Fine & Performing Arts,Arts,2009,66794,0.039225312700218284,Fine & Performing Arts: Arts
Fine & Performing Arts,Arts,2010,69182,0.0393802037943477,Fine & Performing Arts: Arts
Fine & Performing Arts,Arts,2011,71106,0.03890593273616945,Fine & Performing Arts: Arts
Fine & Performing Arts,Arts,2012,72736,0.038090509997868616,Fine & Performing Arts: Arts
Fine & Performing Arts,Arts,2013,74065,0.0377794179832376,Fine & Performing Arts: Arts
Fine & Performing Arts,Arts,2014,72562,0.03647557897604772,Fine & Performing Arts: Arts
Fine & Performing Arts,Arts,2015,71422,0.035445337197703215,Fine & Performing Arts: Arts
Fine & Performing Arts,Arts,2016,69099,0.03384818258101271,Fine & Performing Arts: Arts
Fine & Performing Arts,Arts,2017,67299,0.03235755971332603,Fine & Performing Arts: Arts
Fine & Performing Arts,Music,1999,9090,0.0074305804762928515,Fine & Performing Arts: Music
Fine & Performing Arts,Music,2e3,9665,0.007675319302018454,Fine & Performing Arts: Music
Fine & Performing Arts,Music,2001,10544,0.00799252292809534,Fine & Performing Arts: Music
Fine & Performing Arts,Music,2002,11186,0.0081351188995699,Fine & Performing Arts: Music
Fine & Performing Arts,Music,2003,11437,0.007971551382249028,Fine & Performing Arts: Music
Fine & Performing Arts,Music,2004,11989,0.008034526549992125,Fine & Performing Arts: Music
Fine & Performing Arts,Music,2005,12352,0.008034186922331423,Fine & Performing Arts: Music
Fine & Performing Arts,Music,2006,12751,0.008055778256664134,Fine & Performing Arts: Music
Fine & Performing Arts,Music,2007,13042,0.008020974337433201,Fine & Performing Arts: Music
Fine & Performing Arts,Music,2008,13322,0.008010703386900377,Fine & Performing Arts: Music
Fine & Performing Arts,Music,2009,13715,0.008054243849499862,Fine & Performing Arts: Music
Fine & Performing Arts,Music,2010,14116,0.008035196391561564,Fine & Performing Arts: Music
Fine & Performing Arts,Music,2011,14418,0.00788886645557465,Fine & Performing Arts: Music
Fine & Performing Arts,Music,2012,14484,0.007585005317987365,Fine & Performing Arts: Music
Fine & Performing Arts,Music,2013,14937,0.007619134090536961,Fine & Performing Arts: Music
Fine & Performing Arts,Music,2014,15023,0.007551784997066853,Fine & Performing Arts: Music
Fine & Performing Arts,Music,2015,14933,0.007410954893076392,Fine & Performing Arts: Music
Fine & Performing Arts,Music,2016,14377,0.007042581238038462,Fine & Performing Arts: Music
Fine & Performing Arts,Music,2017,14889,0.007158675560880716,Fine & Performing Arts: Music
Health & Medical,Health and Medical,1999,47304,0.0386684465182131,Health & Medical: Health and Medical
Health & Medical,Health and Medical,2e3,45347,0.03601166108521788,Health & Medical: Health and Medical
Health & Medical,Health and Medical,2001,42577,0.03227405621296617,Health & Medical: Health and Medical
Health & Medical,Health and Medical,2002,39690,0.028864908736271167,Health & Medical: Health and Medical
Health & Medical,Health and Medical,2003,35486,0.024733625282022293,Health & Medical: Health and Medical
Health & Medical,Health and Medical,2004,32687,0.021905460784018067,Health & Medical: Health and Medical
Health & Medical,Health and Medical,2005,34165,0.022222149951542508,Health & Medical: Health and Medical
Health & Medical,Health and Medical,2006,38234,0.024155331022296014,Health & Medical: Health and Medical
Health & Medical,Health and Medical,2007,41588,0.025577080259559272,Health & Medical: Health and Medical
Health & Medical,Health and Medical,2008,43982,0.026446986665864914,Health & Medical: Health and Medical
Health & Medical,Health and Medical,2009,46641,0.027390301668576235,Health & Medical: Health and Medical
Health & Medical,Health and Medical,2010,47761,0.027186810346937648,Health & Medical: Health and Medical
Health & Medical,Health and Medical,2011,52790,0.02888425996599985,Health & Medical: Health and Medical
Health & Medical,Health and Medical,2012,61330,0.03211739686220417,Health & Medical: Health and Medical
Health & Medical,Health and Medical,2013,68261,0.03481888680150924,Health & Medical: Health and Medical
Health & Medical,Health and Medical,2014,74198,0.037297965999624996,Health & Medical: Health and Medical
Health & Medical,Health and Medical,2015,79140,0.039275629159449925,Health & Medical: Health and Medical
Health & Medical,Health and Medical,2016,83268,0.040788874906377316,Health & Medical: Health and Medical
Health & Medical,Health and Medical,2017,85795,0.04125049162104648,Health & Medical: Health and Medical
Health & Medical,Nursing,1999,38860,0.03176593589755118,Health & Medical: Nursing
Health & Medical,Nursing,2e3,36843,0.029258333062003716,Health & Medical: Nursing
Health & Medical,Nursing,2001,34787,0.02636910992978496,Health & Medical: Nursing
Health & Medical,Nursing,2002,34808,0.025314430418043005,Health & Medical: Nursing
Health & Medical,Nursing,2003,35538,0.024769869110987667,Health & Medical: Nursing
Health & Medical,Nursing,2004,40698,0.0272740980508449,Health & Medical: Nursing
Health & Medical,Nursing,2005,45879,0.02984135863096206,Health & Medical: Nursing
Health & Medical,Nursing,2006,53024,0.033499300939640736,Health & Medical: Nursing
Health & Medical,Nursing,2007,59132,0.03636683442118541,Health & Medical: Nursing
Health & Medical,Nursing,2008,65196,0.03920325912117978,Health & Medical: Nursing
Health & Medical,Nursing,2009,70784,0.04156847223062327,Health & Medical: Nursing
Health & Medical,Nursing,2010,78577,0.044728083512307525,Health & Medical: Nursing
Health & Medical,Nursing,2011,87157,0.047688301683209866,Health & Medical: Nursing
Health & Medical,Nursing,2012,99202,0.051950269093826475,Health & Medical: Nursing
Health & Medical,Nursing,2013,109531,0.05587007940487406,Health & Medical: Nursing
Health & Medical,Nursing,2014,119797,0.06021974221484509,Health & Medical: Nursing
Health & Medical,Nursing,2015,131440,0.06523109295827771,Health & Medical: Nursing
Health & Medical,Nursing,2016,138799,0.06799076533758786,Health & Medical: Nursing
Health & Medical,Nursing,2017,144990,0.06971162398899154,Health & Medical: Nursing
Humanities,Area Studies,1999,3529,0.0028847655116432864,Humanities: Area Studies
Humanities,Area Studies,2e3,3638,0.002889064834013775,Humanities: Area Studies
Humanities,Area Studies,2001,4059,0.003076787800183895,Humanities: Area Studies
Humanities,Area Studies,2002,4304,0.0031301226304084433,Humanities: Area Studies
Humanities,Area Studies,2003,4532,0.003158789093674267,Humanities: Area Studies
Humanities,Area Studies,2004,4737,0.0031745393500135707,Humanities: Area Studies
Humanities,Area Studies,2005,5118,0.0033289320489388137,Humanities: Area Studies
Humanities,Area Studies,2006,5318,0.003359785802599001,Humanities: Area Studies
Humanities,Area Studies,2007,5614,0.0034526721308349943,Humanities: Area Studies
Humanities,Area Studies,2008,5885,0.003538732129703402,Humanities: Area Studies
Humanities,Area Studies,2009,6056,0.003556434615572086,Humanities: Area Studies
Humanities,Area Studies,2010,6415,0.003651585778681456,Humanities: Area Studies
Humanities,Area Studies,2011,6514,0.0035641611937587236,Humanities: Area Studies
Humanities,Area Studies,2012,6622,0.0034678200231781507,Humanities: Area Studies
Humanities,Area Studies,2013,6364,0.0032461785734871273,Humanities: Area Studies
Humanities,Area Studies,2014,5912,0.0029718533517046684,Humanities: Area Studies
Humanities,Area Studies,2015,5568,0.002763289147836962,Humanities: Area Studies
Humanities,Area Studies,2016,5322,0.002606984582933901,Humanities: Area Studies
Humanities,Area Studies,2017,4958,0.002383821172063039,Humanities: Area Studies
Humanities,Communication,1999,27910,0.022814906610927776,Humanities: Communication
Humanities,Communication,2e3,31281,0.024841351586801785,Humanities: Communication
Humanities,Communication,2001,33331,0.025265438326664055,Humanities: Communication
Humanities,Communication,2002,36593,0.026612587689250965,Humanities: Communication
Humanities,Communication,2003,39183,0.027310422122118004,Humanities: Communication
Humanities,Communication,2004,41179,0.027596444140639397,Humanities: Communication
Humanities,Communication,2005,42576,0.027692968135134607,Humanities: Communication
Humanities,Communication,2006,42538,0.026874495763624728,Humanities: Communication
Humanities,Communication,2007,43132,0.026526657347198963,Humanities: Communication
Humanities,Communication,2008,43915,0.026406698636520797,Humanities: Communication
Humanities,Communication,2009,44908,0.02637258350662339,Humanities: Communication
Humanities,Communication,2010,44032,0.025064166018223207,Humanities: Communication
Humanities,Communication,2011,44357,0.024270110235117548,Humanities: Communication
Humanities,Communication,2012,43238,0.02264294807643867,Humanities: Communication
Humanities,Communication,2013,43991,0.022439132876535546,Humanities: Communication
Humanities,Communication,2014,44916,0.022578444713323223,Humanities: Communication
Humanities,Communication,2015,46754,0.023203092819319204,Humanities: Communication
Humanities,Communication,2016,46996,0.023021016057790607,Humanities: Communication
Humanities,Communication,2017,46846,0.022523696374841695,Humanities: Communication
Humanities,Comparative Literature,1999,746,6.09814415326124e-4,Humanities: Comparative Literature
Humanities,Comparative Literature,2e3,832,6.607207097029853e-4,Humanities: Comparative Literature
Humanities,Comparative Literature,2001,925,7.011649951145856e-4,Humanities: Comparative Literature
Humanities,Comparative Literature,2002,870,6.327153086559818e-4,Humanities: Comparative Literature
Humanities,Comparative Literature,2003,830,5.785072700241928e-4,Humanities: Comparative Literature
Humanities,Comparative Literature,2004,887,5.944303152759209e-4,Humanities: Comparative Literature
Humanities,Comparative Literature,2005,901,5.860429417924719e-4,Humanities: Comparative Literature
Humanities,Comparative Literature,2006,887,5.603854845628646e-4,Humanities: Comparative Literature
Humanities,Comparative Literature,2007,951,5.848755248350694e-4,Humanities: Comparative Literature
Humanities,Comparative Literature,2008,888,5.339667172772508e-4,Humanities: Comparative Literature
Humanities,Comparative Literature,2009,914,5.367538372907673e-4,Humanities: Comparative Literature
Humanities,Comparative Literature,2010,789,4.4911943560088365e-4,Humanities: Comparative Literature
Humanities,Comparative Literature,2011,905,4.951743752458774e-4,Humanities: Comparative Literature
Humanities,Comparative Literature,2012,862,0.00045141360011772364,Humanities: Comparative Literature
Humanities,Comparative Literature,2013,1052,5.366090288039688e-4,Humanities: Comparative Literature
Humanities,Comparative Literature,2014,910,4.5744021482598923e-4,Humanities: Comparative Literature
Humanities,Comparative Literature,2015,887,4.4020069578509075e-4,Humanities: Comparative Literature
Humanities,Comparative Literature,2016,802,3.9286013444437965e-4,Humanities: Comparative Literature
Humanities,Comparative Literature,2017,839,4.033936997500786e-4,Humanities: Comparative Literature
Humanities,"Cultural, Ethnic, and Gender Studies",1999,2391,0.001954512422312014,"Humanities: Cultural, Ethnic, and Gender Studies"
Humanities,"Cultural, Ethnic, and Gender Studies",2e3,2485,0.001973426638956633,"Humanities: Cultural, Ethnic, and Gender Studies"
Humanities,"Cultural, Ethnic, and Gender Studies",2001,3139,0.002379412886123983,"Humanities: Cultural, Ethnic, and Gender Studies"
Humanities,"Cultural, Ethnic, and Gender Studies",2002,3432,0.002495952803801528,"Humanities: Cultural, Ethnic, and Gender Studies"
Humanities,"Cultural, Ethnic, and Gender Studies",2003,3741,0.0026074646953741024,"Humanities: Cultural, Ethnic, and Gender Studies"
Humanities,"Cultural, Ethnic, and Gender Studies",2004,4320,0.0028950833844328954,"Humanities: Cultural, Ethnic, and Gender Studies"
Humanities,"Cultural, Ethnic, and Gender Studies",2005,4571,0.002973143492711863,"Humanities: Cultural, Ethnic, and Gender Studies"
Humanities,"Cultural, Ethnic, and Gender Studies",2006,4814,0.0030413706005474974,"Humanities: Cultural, Ethnic, and Gender Studies"
Humanities,"Cultural, Ethnic, and Gender Studies",2007,4891,0.0030080191293042316,"Humanities: Cultural, Ethnic, and Gender Studies"
Humanities,"Cultural, Ethnic, and Gender Studies",2008,4943,0.0029722944634025346,"Humanities: Cultural, Ethnic, and Gender Studies"
Humanities,"Cultural, Ethnic, and Gender Studies",2009,5044,0.0029621294915696175,"Humanities: Cultural, Ethnic, and Gender Studies"
Humanities,"Cultural, Ethnic, and Gender Studies",2010,4736,0.0026958550659135425,"Humanities: Cultural, Ethnic, and Gender Studies"
Humanities,"Cultural, Ethnic, and Gender Studies",2011,5422,0.0029666690194288916,"Humanities: Cultural, Ethnic, and Gender Studies"
Humanities,"Cultural, Ethnic, and Gender Studies",2012,5435,0.002846209880092608,"Humanities: Cultural, Ethnic, and Gender Studies"
Humanities,"Cultural, Ethnic, and Gender Studies",2013,5385,0.0027468057225374263,"Humanities: Cultural, Ethnic, and Gender Studies"
Humanities,"Cultural, Ethnic, and Gender Studies",2014,5175,0.0026013770458510927,"Humanities: Cultural, Ethnic, and Gender Studies"
Humanities,"Cultural, Ethnic, and Gender Studies",2015,5033,0.002497779145305932,"Humanities: Cultural, Ethnic, and Gender Studies"
Humanities,"Cultural, Ethnic, and Gender Studies",2016,5317,0.002604535330225395,"Humanities: Cultural, Ethnic, and Gender Studies"
Humanities,"Cultural, Ethnic, and Gender Studies",2017,5547,0.002667014126953142,"Humanities: Cultural, Ethnic, and Gender Studies"
Humanities,English Language and Literature,1999,49717,0.04064094274365805,Humanities: English Language and Literature
Humanities,English Language and Literature,2e3,49912,0.03963688949843198,Humanities: English Language and Literature
Humanities,English Language and Literature,2001,53142,0.04028249748149114,Humanities: English Language and Literature
Humanities,English Language and Literature,2002,55148,0.04010687797903458,Humanities: English Language and Literature
Humanities,English Language and Literature,2003,56428,0.03933013040111464,Humanities: English Language and Literature
Humanities,English Language and Literature,2004,56917,0.03814339374809424,Humanities: English Language and Literature
Humanities,English Language and Literature,2005,57357,0.037307064386671265,Humanities: English Language and Literature
Humanities,English Language and Literature,2006,58263,0.03680917642287055,Humanities: English Language and Literature
Humanities,English Language and Literature,2007,58354,0.03588835581096282,Humanities: English Language and Literature
Humanities,English Language and Literature,2008,58301,0.035057199981960586,Humanities: English Language and Literature
Humanities,English Language and Literature,2009,58619,0.03442447832401257,Humanities: English Language and Literature
Humanities,English Language and Literature,2010,56296,0.03204515557235405,Humanities: English Language and Literature
Humanities,English Language and Literature,2011,56036,0.03066032186881545,Humanities: English Language and Literature
Humanities,English Language and Literature,2012,57196,0.029952496835653503,Humanities: English Language and Literature
Humanities,English Language and Literature,2013,55657,0.028389780148424425,Humanities: English Language and Literature
Humanities,English Language and Literature,2014,53674,0.026980929769857304,Humanities: English Language and Literature
Humanities,English Language and Literature,2015,48872,0.024254214661114944,Humanities: English Language and Literature
Humanities,English Language and Literature,2016,45580,0.022327387690741676,Humanities: English Language and Literature
Humanities,English Language and Literature,2017,44019,0.02116446635196509,Humanities: English Language and Literature
Humanities,History,1999,24875,0.020333959224178733,Humanities: History
Humanities,History,2e3,25394,0.020166276084372128,Humanities: History
Humanities,History,2001,27300,0.020693842558516955,Humanities: History
Humanities,History,2002,28554,0.0207661527854746,Humanities: History
Humanities,History,2003,30377,0.021172669086174583,Humanities: History
Humanities,History,2004,32691,0.02190814141678143,Humanities: History
Humanities,History,2005,34891,0.022694366572787054,Humanities: History
Humanities,History,2006,36751,0.023218406925783357,Humanities: History
Humanities,History,2007,38027,0.023387025849530164,Humanities: History
Humanities,History,2008,38078,0.022896829572616167,Humanities: History
Humanities,History,2009,38482,0.022598863420813246,Humanities: History
Humanities,History,2010,38803,0.022087682458328376,Humanities: History
Humanities,History,2011,38814,0.021237235580987272,Humanities: History
Humanities,History,2012,38812,0.02032513300205231,Humanities: History
Humanities,History,2013,37881,0.019322515798596146,Humanities: History
Humanities,History,2014,34453,0.017318887605933853,Humanities: History
Humanities,History,2015,31237,0.015502310185162209,Humanities: History
Humanities,History,2016,28399,0.01391126553377299,Humanities: History
Humanities,History,2017,26879,0.012923503284365152,Humanities: History
Humanities,Humanities/Humanistic Studies,1999,2633,0.002152334256774376,Humanities: Humanities/Humanistic Studies
Humanities,Humanities/Humanistic Studies,2e3,2650,0.00210445899124148,Humanities: Humanities/Humanistic Studies
Humanities,Humanities/Humanistic Studies,2001,3053,0.0023142234919835995,Humanities: Humanities/Humanistic Studies
Humanities,Humanities/Humanistic Studies,2002,3284,0.0023883184754324646,Humanities: Humanities/Humanistic Studies
Humanities,Humanities/Humanistic Studies,2003,3156,0.0021997216195136773,Humanities: Humanities/Humanistic Studies
Humanities,Humanities/Humanistic Studies,2004,3041,0.0020379510583473227,Humanities: Humanities/Humanistic Studies
Humanities,Humanities/Humanistic Studies,2005,3238,0.002106112148195365,Humanities: Humanities/Humanistic Studies
Humanities,Humanities/Humanistic Studies,2006,3251,0.002053904408471108,Humanities: Humanities/Humanistic Studies
Humanities,Humanities/Humanistic Studies,2007,2987,0.0018370380574998448,Humanities: Humanities/Humanistic Studies
Humanities,Humanities/Humanistic Studies,2008,2922,0.0017570391305001428,Humanities: Humanities/Humanistic Studies
Humanities,Humanities/Humanistic Studies,2009,2558,0.001502206034780944,Humanities: Humanities/Humanistic Studies
Humanities,Humanities/Humanistic Studies,2010,2653,0.001510156986881045,Humanities: Humanities/Humanistic Studies
Humanities,Humanities/Humanistic Studies,2011,2750,0.0015046735159405112,Humanities: Humanities/Humanistic Studies
Humanities,Humanities/Humanistic Studies,2012,2768,0.0014495508644151497,Humanities: Humanities/Humanistic Studies
Humanities,Humanities/Humanistic Studies,2013,2856,0.0014568016979697102,Humanities: Humanities/Humanistic Studies
Humanities,Humanities/Humanistic Studies,2014,2710,0.001362267013382891,Humanities: Humanities/Humanistic Studies
Humanities,Humanities/Humanistic Studies,2015,2382,0.0011821398617362865,Humanities: Humanities/Humanistic Studies
Humanities,Humanities/Humanistic Studies,2016,2161,0.0010585670206163399,Humanities: Humanities/Humanistic Studies
Humanities,Humanities/Humanistic Studies,2017,2085,0.0010024742121321978,Humanities: Humanities/Humanistic Studies
Humanities,Languages and Literatures Other than English,1999,13646,0.011154862616005748,Humanities: Languages and Literatures Other than English
Humanities,Languages and Literatures Other than English,2e3,13559,0.01076768281594084,Humanities: Languages and Literatures Other than English
Humanities,Languages and Literatures Other than English,2001,17873,0.013548023738035661,Humanities: Languages and Literatures Other than English
Humanities,Languages and Literatures Other than English,2002,18623,0.013543743900115344,Humanities: Languages and Literatures Other than English
Humanities,Languages and Literatures Other than English,2003,19344,0.013482704375118055,Humanities: Languages and Literatures Other than English
Humanities,Languages and Literatures Other than English,2004,20046,0.013433991093597645,Humanities: Languages and Literatures Other than English
Humanities,Languages and Literatures Other than English,2005,21323,0.01386924933167689,Humanities: Languages and Literatures Other than English
Humanities,Languages and Literatures Other than English,2006,22273,0.014071551181137185,Humanities: Languages and Literatures Other than English
Humanities,Languages and Literatures Other than English,2007,23127,0.014223360949380284,Humanities: Languages and Literatures Other than English
Humanities,Languages and Literatures Other than English,2008,24053,0.014463402534537966,Humanities: Languages and Literatures Other than English
Humanities,Languages and Literatures Other than English,2009,24270,0.014252752331561183,Humanities: Languages and Literatures Other than English
Humanities,Languages and Literatures Other than English,2010,24926,0.014188531117601554,Humanities: Languages and Literatures Other than English
Humanities,Languages and Literatures Other than English,2011,25007,0.013682680222954314,Humanities: Languages and Literatures Other than English
Humanities,Languages and Literatures Other than English,2012,24767,0.012970023937489167,Humanities: Languages and Literatures Other than English
Humanities,Languages and Literatures Other than English,2013,24401,0.012446575011260117,Humanities: Languages and Literatures Other than English
Humanities,Languages and Literatures Other than English,2014,23014,0.011568713301104743,Humanities: Languages and Literatures Other than English
Humanities,Languages and Literatures Other than English,2015,22135,0.010985166179484761,Humanities: Languages and Literatures Other than English
Humanities,Languages and Literatures Other than English,2016,20867,0.01022171125367939,Humanities: Languages and Literatures Other than English
Humanities,Languages and Literatures Other than English,2017,20265,0.009743472378349634,Humanities: Languages and Literatures Other than English
Humanities,Linguistics,1999,724,5.91830612193182e-4,Humanities: Linguistics
Humanities,Linguistics,2e3,727,5.773364855217192e-4,Humanities: Linguistics
Humanities,Linguistics,2001,828,6.276374226539209e-4,Humanities: Linguistics
Humanities,Linguistics,2002,954,6.9380506259518e-4,Humanities: Linguistics
Humanities,Linguistics,2003,1011,7.046636746921191e-4,Humanities: Linguistics
Humanities,Linguistics,2004,1143,7.659908121312036e-4,Humanities: Linguistics
Humanities,Linguistics,2005,1167,7.590589490253215e-4,Humanities: Linguistics
Humanities,Linguistics,2006,1328,8.389987863579302e-4,Humanities: Linguistics
Humanities,Linguistics,2007,1463,8.997611912026357e-4,Humanities: Linguistics
Humanities,Linguistics,2008,1641,9.8675606199546e-4,Humanities: Linguistics
Humanities,Linguistics,2009,1598,9.384383282173372e-4,Humanities: Linguistics
Humanities,Linguistics,2010,1806,0.0010280224343411862,Humanities: Linguistics
Humanities,Linguistics,2011,1951,0.0010674974653090681,Humanities: Linguistics
