year,General,Type,degrees,percent,relative
2010,Humanities,English,53346,0.03193583379429746,-0.2210966476421512
2010,Humanities,History,35299,0.021131912366529934,-0.054479936326607636
2010,Humanities,Languages and Literature,21658,0.012965663560846066,-0.027345327845906153
2010,Humanities,Philosophy,7510,0.004495896820664602,-0.03260886873365343
2010,Humanities,Religion,5174,0.0030974394341036823,-0.0948740797080595
2011,Humanities,English,52865,0.030462278692539292,-0.25703611977355967
2011,Humanities,History,35086,0.020217525966261866,-0.0953929721374559
2011,Humanities,Languages and Literature,21860,0.012596338072806372,-0.055051288269882925
2011,Humanities,Philosophy,7582,0.0043689586124436375,-0.05992241745376159
2011,Humanities,Religion,5365,0.0030914617456818936,-0.09662086470550546
2012,Humanities,English,53892,0.029716744700784056,-0.27521942224235485
2012,Humanities,History,35221,0.019421314204451777,-0.13101843672704816
2012,Humanities,Languages and Literature,21919,0.012086419637357784,-0.09330421272138023
2012,Humanities,Philosophy,7560,0.0041686816213524725,-0.10301641909716719
2012,Humanities,Religion,5216,0.002876169753568055,-0.15953294632621118
2013,Humanities,English,52537,0.028192844919229382,-0.31238678277396803
2013,Humanities,History,34299,0.018405816622278557,-0.17645556148426533
2013,Humanities,Languages and Literature,21777,0.011686156114853498,-0.12333107431852353
2013,Humanities,Philosophy,7641,0.004100377410735895,-0.11771357301647312
2013,Humanities,Religion,5322,0.002855936209911848,-0.16544554129770606
2014,Humanities,English,50588,0.02672119223802926,-0.3482798555609974
2014,Humanities,History,31215,0.016488139790268114,-0.26225952890840476
2014,Humanities,Languages and Literature,20483,0.010819367846357899,-0.18835556420784672
2014,Humanities,Philosophy,7192,0.0037989012132503054,-0.18258281076120153
2014,Humanities,Religion,4973,0.00262679862812761,-0.23240354612660252
2015,Humanities,English,46006,0.023981367864779404,-0.41510317393564145
2015,Humanities,History,28165,0.014681459503358517,-0.3430970996065429
2015,Humanities,Languages and Literature,19634,0.010234538465788786,-0.2322281378523855
2015,Humanities,Philosophy,6648,0.0034653769848509647,-0.25434788756033466
2015,Humanities,Religion,4593,0.002394175164172756,-0.30038018663016897
2016,Humanities,English,42942,0.02208806317694266,-0.4612801855611903
2016,Humanities,History,25686,0.013212099826811726,-0.4088416962540339
2016,Humanities,Languages and Literature,18570,0.009551845121229221,-0.28344224410450203
2016,Humanities,Philosophy,6055,0.003114508465753523,-0.3298449701569157
2016,Humanities,Religion,4260,0.002191214874336913,-0.35968872938898655
2017,Humanities,English,41449,0.020928151845609626,-0.4895700003890242
2017,Humanities,History,24163,0.01220022034416911,-0.454116933831368
2017,Humanities,Languages and Literature,17818,0.008996545383123172,-0.3250995709493726
2017,Humanities,Philosophy,6044,0.0030516960543044364,-0.3433604426406274
2017,Humanities,Religion,3840,0.0019388671159048703,-0.43342915335647114
